rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Christian McCaffrey,CAR,RB1,RB,13.0,1.0,4.0,1.1,0.4,1.0,0.0,25.700000000000003,9.529183245868103,328.06,1.0
2,1.0,Saquon Barkley,NYG,RB2,RB,11.0,1.0,6.0,2.2,0.7,2.0,0.0,16.77692307692308,10.39223699419859,279.76,0.9013307662072283
3,1.0,Ezekiel Elliott,DAL,RB3,RB,10.0,2.0,10.0,3.2,1.0,3.0,0.0,17.79375,5.892986650813547,278.73,0.8992266396894942
4,1.0,Alvin Kamara,NO,RB4,RB,6.0,2.0,18.0,5.1,2.0,6.0,1.0,14.847959185000002,7.639551728580311,259.84000000000003,0.8606373679225076
5,1.0,Dalvin Cook,MIN,RB5,RB,7.0,2.0,22.0,6.5,2.6,5.0,1.0,18.992857142857144,7.126922335624403,266.32,0.8738749794127177
6,1.0,Derrick Henry,TEN,RB6,RB,7.0,2.0,21.0,6.8,2.7,4.0,-2.0,19.04,10.14085090822546,256.09000000000003,0.8529767131249321
7,1.0,Michael Thomas,NO,WR1,WR,6.0,3.0,17.0,7.2,2.2,8.0,1.0,18.75625,7.468419623097423,273.93,0.8213943869461275
8,1.0,Davante Adams,GB,WR2,WR,5.0,3.0,19.0,10.4,2.6,12.0,-3.0,14.100000000000001,6.130104551978034,250.35000000000002,0.7732241895789731
9,2.0,Clyde Edwards-Helaire,KC,RB7,RB,10.0,1.0,294.0,10.6,5.6,7.0,-1.0,,,233.54000000000002,0.8069106422755116
10,1.0,Joe Mixon,CIN,RB8,RB,9.0,4.0,38.0,11.7,6.1,10.0,0.0,12.99375,7.689080460844023,226.46000000000004,0.7924473260176892
11,1.0,Julio Jones,ATL,WR3,WR,10.0,6.0,25.0,13.1,3.2,18.0,-2.0,14.973333333333333,7.577265494949506,236.31000000000003,0.7445426980168507
12,1.0,Tyreek Hill,KC,WR4,WR,10.0,5.0,46.0,14.1,4.4,17.0,-10.0,13.274999999999999,8.665619109183979,220.37,0.7119798080239564
13,3.0,Josh Jacobs,LV,RB9,RB,6.0,2.0,73.0,14.8,6.4,9.0,-5.0,13.969230769230771,7.404096232872789,221.27000000000004,0.7818449797778447
14,1.0,Miles Sanders,PHI,RB10,RB,9.0,5.0,32.0,15.9,6.3,15.0,6.0,11.98125,8.10047066533791,227.82,0.7952255901576097
15,3.0,Nick Chubb,CLE,RB11,RB,9.0,6.0,53.0,17.3,7.1,14.0,-2.0,14.825,8.862317228956918,217.03,0.773183332753386
16,1.0,Travis Kelce,KC,TE1,TE,10.0,8.0,44.0,18.2,4.3,19.0,2.0,12.8625,4.811219526620391,206.89000000000004,0.756901887756939
17,1.0,Austin Ekeler,LAC,RB12,RB,10.0,4.0,43.0,18.2,7.0,11.0,-1.0,16.4375,8.505831333071841,222.32,0.7839899631211658
