rank,pos_tiers,player_name,tm,pos_rank,pos,bye,best,worst,avg,std dev,adp,adp_vor_delta,py_avg_ppg,py_std_dev,custom_points,vor
1,1.0,Justin Jefferson,MIN,WR1,WR,13,1,5,1.22,0.67,1.0,-2.0,21.568235294117653,11.9590155506704,316.46,0.9274447487335644
2,1.0,Ja'Marr Chase,CIN,WR2,WR,7,1,7,2.38,1.12,3.0,-2.0,20.03333333333333,8.624946200974067,308.0,0.9119508296999748
3,1.0,Christian McCaffrey,SF,RB1,RB,9,1,15,3.50,2.01,2.0,1.0,21.021176470588234,8.666061592754334,308.26,1.0
4,1.0,Cooper Kupp,LAR,WR3,WR,10,1,16,5.27,2.81,7.0,-1.0,22.155555555555555,8.983472478823419,301.99,0.9009439203155925
5,1.0,Tyreek Hill,MIA,WR4,WR,10,2,13,5.30,1.69,4.0,-5.0,20.011764705882353,9.839898522910511,301.82000000000005,0.9006325767889128
6,1.0,Travis Kelce,KC,TE1,TE,10,4,30,6.55,2.45,6.0,-5.0,18.429411764705883,8.036694337994504,287.98,0.8966522634674391
7,1.0,Austin Ekeler,LAC,RB2,RB,5,3,15,7.40,2.25,5.0,3.0,21.629411764705882,8.961986715140396,302.91,0.9902018360721389
8,1.0,Stefon Diggs,BUF,WR5,WR,13,4,20,8.87,2.54,8.0,-10.0,19.725,10.065088176464227,274.95,0.8514219852484216
9,1.0,CeeDee Lamb,DAL,WR6,WR,7,4,24,10.52,2.74,11.0,-5.0,17.741176470588236,8.663000261422814,281.72,0.8638207833403132
10,1.0,Amon-Ra St. Brown,DET,WR7,WR,9,2,24,11.67,3.28,14.0,-9.0,16.724999999999998,10.081170566953029,260.19,0.8243900414025843
11,1.0,Saquon Barkley,NYG,RB3,RB,13,4,25,11.89,3.38,9.0,5.0,17.5625,7.131888482956904,261.4800000000001,0.9143255871877867
12,1.0,A.J. Brown,PHI,WR8,WR,10,5,32,12.70,3.37,13.0,-20.0,17.505882352941175,9.433349788664371,246.89000000000001,0.8000319890211727
13,1.0,Davante Adams,LV,WR9,WR,13,5,32,12.91,4.02,16.0,-4.0,19.676470588235297,12.013717649616455,271.11,0.8443892844104802
14,2.0,Garrett Wilson,NYJ,WR10,WR,7,8,35,14.63,3.80,17.0,-17.0,12.570588235294121,8.592275943098716,240.17,0.7877247625547752
15,1.0,Tony Pollard,DAL,RB4,RB,7,3,59,17.34,7.62,15.0,9.0,15.549999999999999,10.43922091601348,256.71,0.9055896541156562
16,2.0,Bijan Robinson,ATL,RB5,RB,11,2,95,14.90,8.77,10.0,3.0,,,256.43000000000006,0.9050768530128898
17,1.0,Nick Chubb,CLE,RB6,RB,5,3,31,17.91,5.52,12.0,-1.0,16.376470588235293,7.107700877548652,248.68,0.8908832510613152
18,2.0,Jaylen Waddle,MIA,WR11,WR,10,11,40,19.41,5.42,19.0,-17.0,15.188235294117646,9.929997630471846,238.25000000000006,0.7842084121358045
19,2.0,Chris Olave,NO,WR12,WR,11,12,48,20.89,5.48,21.0,-18.0,12.946666666666665,5.110055446535456,231.36,0.7715898421427273
20,1.0,Derrick Henry,TEN,RB7,RB,7,7,38,21.63,4.68,18.0,8.0,18.672500000000003,8.68475100391485,253.19000000000003,0.8991430116808766
21,2.0,DeVonta Smith,PHI,WR13,WR,10,15,47,24.51,7.21,22.0,-25.0,14.917647058823531,8.529378296080381,225.71,0.7612422484619019
22,2.0,Josh Jacobs,LV,RB8,RB,13,9,86,26.67,11.34,24.0,12.0,19.135294117647057,12.086094343111354,249.81,0.8929527697974802
23,2.0,Keenan Allen,LAC,WR14,WR,5,14,53,26.70,8.43,30.0,-18.0,16.3,7.562480486659858,224.98,0.759905302729689
24,1.0,Patrick Mahomes II,KC,QB1,QB,10,21,46,27.36,4.87,20.0,1.0,29.435294117647057,7.740169666783038,461.45200000000006,0.8451181945494127
25,2.0,Tee Higgins,CIN,WR15,WR,7,13,47,27.73,6.91,27.0,-17.0,13.681250000000002,8.81885999813279,228.81,0.7669196892425317
26,2.0,Jonathan Taylor,IND,RB9,RB,11,10,80,28.04,11.63,25.0,8.0,13.036363636363637,8.46466452108679,233.59000000000003,0.8632469344872172
27,1.0,Jalen Hurts,PHI,QB2,QB,10,22,59,28.30,6.08,28.0,-9.0,27.66933333333333,8.590213257511353,426.31399999999996,0.7807653190172288
28,1.0,Josh Allen,BUF,QB3,QB,13,23,68,28.84,6.24,26.0,1.0,28.907500000000002,8.184127320612749,448.75000000000006,0.8218553388089096
29,2.0,DK Metcalf,SEA,WR16,WR,5,14,47,31.02,7.09,33.0,-12.0,13.223529411764707,7.11235978875548,227.24,0.7640443402020193
30,2.0,Rhamondre Stevenson,NE,RB10,RB,11,15,81,31.21,10.19,23.0,2.0,14.41764705882353,7.829610087204028,221.32,0.8407752575909825
31,1.0,Mark Andrews,BAL,TE2,TE,13,6,62,32.26,9.26,29.0,-28.0,12.499999999999998,9.107532204562489,201.41000000000003,0.7381051510870773
32,2.0,Joe Mixon,CIN,RB11,RB,7,15,86,33.41,13.62,34.0,20.0,17.107142857142858,11.696578348172814,240.41,0.8757373042046028
33,3.0,Calvin Ridley,JAX,WR17,WR,9,11,90,33.63,11.96,31.0,-19.0,,,222.87,0.7560409801338411
34,3.0,Amari Cooper,CLE,WR18,WR,5,20,60,36.07,6.22,36.0,-17.0,14.529411764705882,8.783917456485629,217.21,0.745675072127917
35,2.0,Najee Harris,PIT,RB12,RB,6,16,96,36.71,12.90,32.0,10.0,12.968235294117648,4.93136927649679,217.35,0.8335044705267567
36,2.0,Aaron Jones,GB,RB13,RB,6,25,88,42.04,11.71,41.0,26.0,14.211764705882354,8.153287860806612,234.34,0.8646205088696277
37,2.0,Jahmyr Gibbs,DET,RB14,RB,9,17,109,39.46,14.54,38.0,10.0,,,209.19,0.8185599812461312
38,3.0,Deebo Samuel,SF,WR19,WR,9,13,66,42.45,9.62,39.0,-13.0,12.723076923076926,5.563445252442328,220.06,0.7508946547810766
