rk,player_name,pos,age,date,lg,tm,home/away,opp,result,g#,week,day,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,receiving_y/tgt
1,Aaron Jones,RB,25.293,2020-09-20,NFL,GNB,Home,DET,W 42-21,2,2,Sun,18.0,168.0,9.33,2.0,8.0,4.0,68.0,17.0,1.0,8.5
2,Nick Chubb,RB,24.265,2020-09-17,NFL,CLE,Home,CIN,W 35-30,2,2,Thu,22.0,124.0,5.64,2.0,1.0,1.0,9.0,9.0,0.0,9.0
3,James Conner,RB,25.138,2020-09-20,NFL,PIT,Home,DEN,W 26-21,2,2,Sun,16.0,106.0,6.63,1.0,2.0,2.0,15.0,7.5,0.0,7.5
4,Leonard Fournette,RB,25.246,2020-09-20,NFL,TAM,Home,CAR,W 31-17,2,2,Sun,12.0,103.0,8.58,2.0,5.0,4.0,13.0,3.25,0.0,2.6
5,James Robinson,RB,22.042,2020-09-20,NFL,JAX,Away,TEN,L 30-33,2,2,Sun,16.0,102.0,6.38,1.0,4.0,3.0,18.0,6.0,0.0,4.5
6,Jonathan Taylor,RB,21.245,2020-09-20,NFL,IND,Home,MIN,W 28-11,2,2,Sun,26.0,101.0,3.88,1.0,2.0,2.0,9.0,4.5,0.0,4.5
7,Miles Sanders,RB,23.142,2020-09-20,NFL,PHI,Home,LAR,L 19-37,2,2,Sun,20.0,95.0,4.75,1.0,7.0,3.0,36.0,12.0,0.0,5.14
8,Austin Ekeler,RB,25.126,2020-09-20,NFL,LAC,Home,KAN,L 20-23,2,2,Sun,16.0,93.0,5.81,0.0,4.0,4.0,55.0,13.75,0.0,13.75
9,Raheem Mostert,RB,28.164,2020-09-20,NFL,SFO,Away,NYJ,W 31-13,2,2,Sun,8.0,92.0,11.5,1.0,2.0,2.0,15.0,7.5,0.0,7.5
10,Ezekiel Elliott,RB,25.06,2020-09-20,NFL,DAL,Home,ATL,W 40-39,2,2,Sun,22.0,89.0,4.05,1.0,7.0,6.0,33.0,5.5,0.0,4.71
11,Josh Jacobs,RB,22.223,2020-09-21,NFL,LVR,Home,NOR,W 34-24,2,2,Mon,27.0,88.0,3.26,0.0,3.0,3.0,17.0,5.67,0.0,5.67
12,Kenyan Drake,RB,26.238,2020-09-20,NFL,ARI,Home,WAS,W 30-15,2,2,Sun,20.0,86.0,4.3,0.0,2.0,2.0,9.0,4.5,0.0,4.5
13,Kareem Hunt,RB,25.042,2020-09-17,NFL,CLE,Home,CIN,W 35-30,2,2,Thu,10.0,86.0,8.6,1.0,2.0,2.0,15.0,7.5,1.0,7.5
14,Derrick Henry,RB,26.26,2020-09-20,NFL,TEN,Home,JAX,W 33-30,2,2,Sun,25.0,84.0,3.36,0.0,2.0,0.0,0.0,,0.0,0.0
15,David Montgomery,RB,23.105,2020-09-20,NFL,CHI,Home,NYG,W 17-13,2,2,Sun,16.0,82.0,5.13,0.0,3.0,3.0,45.0,15.0,1.0,15.0
16,Darrell Henderson,RB,23.032,2020-09-20,NFL,LAR,Away,PHI,W 37-19,2,2,Sun,12.0,81.0,6.75,1.0,3.0,2.0,40.0,20.0,0.0,13.33
17,Alvin Kamara,RB,25.058,2020-09-21,NFL,NOR,Away,LVR,L 24-34,2,2,Mon,13.0,79.0,6.08,2.0,9.0,9.0,95.0,10.56,0.0,10.56
18,Jerick McKinnon,RB,28.14,2020-09-20,NFL,SFO,Away,NYJ,W 31-13,2,2,Sun,3.0,77.0,25.67,1.0,1.0,0.0,0.0,,0.0,0.0
19,Gus Edwards,RB,25.16,2020-09-20,NFL,BAL,Away,HOU,W 33-16,2,2,Sun,10.0,73.0,7.3,0.0,0.0,0.0,0.0,,0.0,
20,Chris Carson,RB,26.004,2020-09-20,NFL,SEA,Home,NWE,W 35-30,2,2,Sun,17.0,72.0,4.24,0.0,3.0,3.0,36.0,12.0,1.0,12.0
21,Melvin Gordon,RB,27.16,2020-09-20,NFL,DEN,Away,PIT,L 21-26,2,2,Sun,19.0,70.0,3.68,0.0,3.0,2.0,14.0,7.0,1.0,4.67
