rk,player_name,pos,year,age,tm,games,games_started,passing_cmp,passing_att,passing_yds,passing_td,passing_int,rushing_att,rushing_yds,rushing_y/a,rushing_td,receiving_tgt,receiving_rec,receiving_yds,receiving_y/r,receiving_td,scoring_2pm,fumbles,fumbles_lost,fantasy_posrank,fantasy_ovrank
1,Emmitt Smith,RB,1994,25,DAL,15,15,0,0,0,0,0,368,1484,4.03,21,61,50,341,6.82,1,0,1,0,1,1
2,Steve Young,QB,1994,33,SFO,16,16,324,461,3969,35,10,58,293,5.05,7,0,0,0,0,0,0,4,3,1,2
3,Jerry Rice ,WR,1994,32,SFO,16,16,0,0,0,0,0,7,93,13.29,2,151,112,1499,13.38,13,1,1,1,1,3
4,Barry Sanders ,RB,1994,26,DET,16,16,0,0,0,0,0,331,1883,5.69,7,65,44,283,6.43,1,0,0,0,2,4
5,Chris Warren,RB,1994,26,SEA,16,15,0,0,0,0,0,333,1545,4.64,9,61,41,323,7.88,2,1,5,4,3,5
6,Marshall Faulk,RB,1994,21,IND,16,16,0,0,0,0,0,314,1282,4.08,11,74,52,522,10.04,1,0,5,5,4,6
7,Brett Favre,QB,1994,25,GNB,16,16,363,582,3882,33,14,42,202,4.81,2,0,0,0,0,0,0,7,5,2,7
8,Sterling Sharpe,WR,1994,29,GNB,16,16,0,0,0,0,0,3,15,5.00,0,159,94,1119,11.90,18,0,1,0,2,8
9,Ben Coates,TE,1994,25,NWE,16,16,0,0,0,0,0,1,0,0.00,0,148,96,1174,12.23,7,0,2,1,1,9
10,Natrone Means,RB,1994,22,SDG,16,16,0,1,0,0,0,343,1350,3.94,12,43,39,235,6.03,0,0,5,4,5,10
11,Ricky Watters,RB,1994,25,SFO,16,16,0,0,0,0,0,239,877,3.67,6,88,66,719,10.89,5,0,8,3,6,11
12,Dan Marino,QB,1994,33,MIA,16,16,385,615,4453,30,17,22,-6,-0.27,1,0,0,0,0,0,0,9,5,3,12
13,Terance Mathis,WR,1994,27,ATL,16,16,0,0,0,0,0,0,0,0,0,151,111,1342,12.09,11,2,0,0,3,13
