,rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
0,1.0,Davante Adams,vs. DET,2.0,10.0,2.2,1.0,23.1,FLEX,1,GB,WR,1
1,2.0,Ezekiel Elliott,vs. ATL,1.0,8.0,2.5,1.4,25.5,FLEX,2,DAL,RB,1
2,3.0,Christian McCaffrey,at TB,1.0,21.0,3.2,2.8,22.8,FLEX,3,CAR,RB,1
3,4.0,Alvin Kamara,at LV,1.0,18.0,4.5,2.3,20.4,FLEX,4,NO,RB,1
4,5.0,Julio Jones,at DAL,2.0,11.0,5.6,1.2,21.9,FLEX,5,ATL,WR,1
5,6.0,Derrick Henry,vs. JAC,1.0,21.0,6.2,3.5,19.9,FLEX,6,TEN,RB,1
6,7.0,DeAndre Hopkins,vs. WAS,2.0,20.0,7.7,2.1,20.8,FLEX,7,ARI,WR,1
7,8.0,Dalvin Cook,at IND,3.0,39.0,9.1,4.9,18.6,FLEX,8,MIN,RB,1
8,9.0,Tyreek Hill,at LAC,2.0,38.0,11.0,5.4,19.7,FLEX,9,KC,WR,1
9,10.0,Saquon Barkley,at CHI,1.0,22.0,11.9,5.1,18.1,FLEX,10,NYG,RB,1
10,11.0,Clyde Edwards-Helaire,at LAC,3.0,34.0,12.6,4.7,18.0,FLEX,11,KC,RB,1
11,12.0,Allen Robinson II,vs. NYG,8.0,40.0,13.3,5.7,17.6,FLEX,12,CHI,WR,2
12,13.0,Adam Thielen,at IND,5.0,35.0,13.3,3.4,17.1,FLEX,13,MIN,WR,2
13,14.0,Calvin Ridley,at DAL,10.0,40.0,17.1,4.6,16.4,FLEX,14,ATL,WR,2
14,15.0,JuJu Smith-Schuster,vs. DEN,11.0,44.0,17.6,5.7,16.3,FLEX,15,PIT,WR,2
15,16.0,Travis Kelce,at LAC,11.0,45.0,18.1,5.2,16.7,FLEX,16,KC,TE,2
16,17.0,Robert Woods,at PHI,10.0,45.0,19.0,5.6,15.4,FLEX,17,LAR,WR,2
