rank,player_name,opp,best,worst,avg,std dev,proj. pts,pos,pos_rank,tm,pos_map,tiers
1,Alvin Kamara,vs. LAC,1,2,1.3,0.5,25.8,FLEX,1,NO,RB,1
2,Ezekiel Elliott,vs. NYG,1,5,1.8,0.8,21.8,FLEX,2,DAL,RB,1
3,DeAndre Hopkins,at NYJ,3,10,4.3,2.2,20.8,FLEX,3,ARI,WR,1
4,Tyreek Hill,vs. LV,3,20,4.6,1.9,20.2,FLEX,4,KC,WR,1
5,Clyde Edwards-Helaire,vs. LV,2,19,6.3,1.7,19.0,FLEX,5,KC,RB,1
6,Adam Thielen,at SEA,4,19,6.7,2.3,19.2,FLEX,6,MIN,WR,1
7,Dalvin Cook,at SEA,2,12,6.8,1.7,18.9,FLEX,7,MIN,RB,1
8,D.K. Metcalf,vs. MIN,3,33,9.0,2.7,18.7,FLEX,8,SEA,WR,1
9,Tyler Lockett,vs. MIN,4,18,9.7,2.6,18.8,FLEX,9,SEA,WR,1
10,Kareem Hunt,vs. IND,5,15,10.0,3.4,18.5,FLEX,10,CLE,RB,1
11,Amari Cooper,vs. NYG,4,18,10.7,2.9,18.3,FLEX,11,DAL,WR,1
12,Calvin Ridley,vs. CAR,4,18,13.5,2.8,18.2,FLEX,12,ATL,WR,1
13,Mike Davis,at ATL,3,39,15.7,1.4,18.0,FLEX,13,CAR,RB,1
14,James Robinson,at HOU,9,21,16.6,2.9,17.5,FLEX,14,JAX,RB,1
15,Allen Robinson II,vs. TB,9,27,17.0,5.8,17.4,FLEX,15,CHI,WR,1
16,Keenan Allen,at NO,9,26,17.1,4.3,17.1,FLEX,16,LAC,WR,1
17,George Kittle,vs. MIA,17,35,18.1,1.5,17.2,FLEX,17,SF,TE,2
18,Josh Jacobs,at KC,5,34,18.7,7.9,17.4,FLEX,18,LV,RB,1
19,Chris Carson,vs. MIN,9,32,19.5,7.2,17.2,FLEX,19,SEA,RB,1
20,Stefon Diggs,at TEN,9,37,21.3,4.6,17.0,FLEX,20,BUF,WR,2
